Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Harry;I can't let you out, Hedwig. ;['i', 'ca', 'let', 'you', 'out', 'hedwig'];['i', 'ca', 'let', 'you', 'out', 'hedwig'];['ca', 'let', 'hedwig']
Harry;I'm not allowed to use magic outside of school. ;['i', 'not', 'allowed', 'to', 'use', 'magic', 'outside', 'of', 'school'];['i', 'not', 'allowed', 'to', 'use', 'magic', 'outside', 'of', 'school'];['allowed', 'use', 'magic', 'outside', 'school']
Harry;Besides, if Uncle Vernon;['besides', 'if', 'uncle', 'vernon'];['besides', 'if', 'uncle', 'vernon'];['besides', 'uncle', 'vernon']
Vernon;Harry Potter!;['harry', 'potter'];['harry', 'potter'];['harry', 'potter']
Harry;Now you've done it.;['now', 'you', 'done', 'it'];['now', 'you', 'done', 'it'];['done']
Petunia;He's in there. Vernon...;['he', 'in', 'there', 'vernon'];['he', 'in', 'there', 'vernon'];['vernon']
Uncle Vernon;I'm warning you, if you can't control that bloody bird it'll have to go.;['i', 'warning', 'you', 'if', 'you', 'ca', 'control', 'that', 'bloody', 'bird', 'it', 'have', 'to', 'go'];['i', 'warning', 'you', 'if', 'you', 'ca', 'control', 'that', 'bloody', 'bird', 'it', 'have', 'to', 'go'];['warning', 'ca', 'control', 'bloody', 'bird']
Harry;But she's bored! ;['but', 'she', 'bored'];['but', 'she', 'bored'];['bored']
Harry;If I could only let out for an hour or two;['if', 'i', 'could', 'only', 'let', 'out', 'for', 'an', 'hour', 'or', 'two'];['if', 'i', 'could', 'only', 'let', 'out', 'for', 'an', 'hour', 'or', 'two'];['could', 'let', 'hour', 'two']
Vernon;Huh, huh! So you could send secret messages to you freaky little friends. No, sir!;['huh', 'huh', 'so', 'you', 'could', 'send', 'secret', 'messages', 'to', 'you', 'freaky', 'little', 'friends', 'no', 'sir'];['huh', 'huh', 'so', 'you', 'could', 'send', 'secret', 'message', 'to', 'you', 'freaky', 'little', 'friend', 'no', 'sir'];['huh', 'huh', 'could', 'send', 'secret', 'message', 'freaky', 'little', 'friend', 'sir']
Harry;But I haven't had any messages from any of my friends... not one all summer.;['but', 'i', 'have', 'had', 'any', 'messages', 'from', 'any', 'of', 'my', 'friends', 'not', 'one', 'all', 'summer'];['but', 'i', 'have', 'had', 'any', 'message', 'from', 'any', 'of', 'my', 'friend', 'not', 'one', 'all', 'summer'];['message', 'friend', 'one', 'summer']
Dudley;Who'd want to be friends with you?;['who', 'want', 'to', 'be', 'friends', 'with', 'you'];['who', 'want', 'to', 'be', 'friend', 'with', 'you'];['want', 'friend']
Uncle Vernon;I should think you'd be a little more grateful. ;['i', 'should', 'think', 'you', 'be', 'a', 'little', 'more', 'grateful'];['i', 'should', 'think', 'you', 'be', 'a', 'little', 'more', 'grateful'];['think', 'little', 'grateful']
Uncle Vernon;We've raised you since you were a baby, given you the food off our table, even let you have Dudley's second bedroom, purely out of the goodness of our hearts.;['we', 'raised', 'you', 'since', 'you', 'were', 'a', 'baby', 'given', 'you', 'the', 'food', 'off', 'our', 'table', 'even', 'let', 'you', 'have', 'dudley', 'second', 'bedroom', 'purely', 'out', 'of', 'the', 'goodness', 'of', 'our', 'hearts'];['we', 'raised', 'you', 'since', 'you', 'were', 'a', 'baby', 'given', 'you', 'the', 'food', 'off', 'our', 'table', 'even', 'let', 'you', 'have', 'dudley', 'second', 'bedroom', 'purely', 'out', 'of', 'the', 'goodness', 'of', 'our', 'heart'];['raised', 'since', 'baby', 'given', 'food', 'table', 'even', 'let', 'dudley', 'second', 'bedroom', 'purely', 'goodness', 'heart']
Aunt Petunia;Not now, Pupkins. For when the Masons arrive.;['not', 'now', 'pupkins', 'for', 'when', 'the', 'masons', 'arrive'];['not', 'now', 'pupkins', 'for', 'when', 'the', 'mason', 'arrive'];['pupkins', 'mason', 'arrive']
Uncle Vernon;Which should be any minute! ;['which', 'should', 'be', 'any', 'minute'];['which', 'should', 'be', 'any', 'minute'];['minute']
Uncle Vernon;Ahem...Now let's go over our schedule once again, shall we? ;['ahem', 'now', 'let', 'go', 'over', 'our', 'schedule', 'once', 'again', 'shall', 'we'];['ahem', 'now', 'let', 'go', 'over', 'our', 'schedule', 'once', 'again', 'shall', 'we'];['ahem', 'let', 'schedule', 'shall']
Uncle Vernon;Petunia when the Masons arrive you will be...?;['petunia', 'when', 'the', 'masons', 'arrive', 'you', 'will', 'be'];['petunia', 'when', 'the', 'mason', 'arrive', 'you', 'will', 'be'];['petunia', 'mason', 'arrive']
Aunt Petunia;in the lounge, waiting to welcome them graciously into our home.;['in', 'the', 'lounge', 'waiting', 'to', 'welcome', 'them', 'graciously', 'into', 'our', 'home'];['in', 'the', 'lounge', 'waiting', 'to', 'welcome', 'them', 'graciously', 'into', 'our', 'home'];['lounge', 'waiting', 'welcome', 'graciously', 'home']
Uncle Vernon;Good! And- and Dudley, you will be...?;['good', 'and', 'dudley', 'you', 'will', 'be'];['good', 'and', 'dudley', 'you', 'will', 'be'];['good', 'dudley']
Dudley;I'll be waiting to open the door!;['i', 'be', 'waiting', 'to', 'open', 'the', 'door'];['i', 'be', 'waiting', 'to', 'open', 'the', 'door'];['waiting', 'open', 'door']
Uncle Vernon;Excellent! ...And you...?;['excellent', 'and', 'you'];['excellent', 'and', 'you'];['excellent']
Harry;I'll be in my bedroom, making no noise and pretending that I don't exist.;['i', 'be', 'in', 'my', 'bedroom', 'making', 'no', 'noise', 'and', 'pretending', 'that', 'i', 'do', 'exist'];['i', 'be', 'in', 'my', 'bedroom', 'making', 'no', 'noise', 'and', 'pretending', 'that', 'i', 'do', 'exist'];['bedroom', 'making', 'noise', 'pretending', 'exist']
Uncle Vernon;Too right, you will. ;['too', 'right', 'you', 'will'];['too', 'right', 'you', 'will'];['right']
Uncle Vernon;With any luck, this could well be the day I make the biggest deal of my career. ;['with', 'any', 'luck', 'this', 'could', 'well', 'be', 'the', 'day', 'i', 'make', 'the', 'biggest', 'deal', 'of', 'my', 'career'];['with', 'any', 'luck', 'this', 'could', 'well', 'be', 'the', 'day', 'i', 'make', 'the', 'biggest', 'deal', 'of', 'my', 'career'];['luck', 'could', 'well', 'day', 'make', 'biggest', 'deal', 'career']
Uncle Vernon;And you will not mess it up!;['and', 'you', 'will', 'not', 'mess', 'it', 'up'];['and', 'you', 'will', 'not', 'mess', 'it', 'up'];['mess']
Uncle Vernon;Mr. and Mrs. Mason! Do come in!;['and', 'mason', 'do', 'come', 'in'];['and', 'mason', 'do', 'come', 'in'];['mason']
Dobby;Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! ;['ha', 'ha', 'ha', 'ho', 'ho', 'ho', 'ha', 'ha'];['ha', 'ha', 'ha', 'ho', 'ho', 'ho', 'ha', 'ha'];['ho', 'ho', 'ho']
Dobby;Harry Potter! Such an honor it is!;['harry', 'potter', 'such', 'an', 'honor', 'it', 'is'];['harry', 'potter', 'such', 'an', 'honor', 'it', 'is'];['harry', 'potter', 'honor']
Harry;Who are you?;['who', 'are', 'you'];['who', 'are', 'you'];[]
Dobby;Dobby sir, Dobby the house elf.;['dobby', 'sir', 'dobby', 'the', 'house', 'elf'];['dobby', 'sir', 'dobby', 'the', 'house', 'elf'];['dobby', 'sir', 'dobby', 'house', 'elf']
Harry;Not to be to be rude or anything, but this isn't a great time for me to have a house elf in my bedroom.;['not', 'to', 'be', 'to', 'be', 'rude', 'or', 'anything', 'but', 'this', 'is', 'a', 'great', 'time', 'for', 'me', 'to', 'have', 'a', 'house', 'elf', 'in', 'my', 'bedroom'];['not', 'to', 'be', 'to', 'be', 'rude', 'or', 'anything', 'but', 'this', 'is', 'a', 'great', 'time', 'for', 'me', 'to', 'have', 'a', 'house', 'elf', 'in', 'my', 'bedroom'];['rude', 'anything', 'great', 'time', 'house', 'elf', 'bedroom']
Dobby;Oh, oh yes, sir! Dobby understands! ;['oh', 'oh', 'yes', 'sir', 'dobby', 'understands'];['oh', 'oh', 'yes', 'sir', 'dobby', 'understands'];['oh', 'oh', 'sir', 'dobby', 'understands']
Dobby;It's just that, Dobby has come to tell you- it is difficult, sir;['it', 'just', 'that', 'dobby', 'has', 'come', 'to', 'tell', 'it', 'is', 'difficult', 'sir'];['it', 'just', 'that', 'dobby', 'ha', 'come', 'to', 'tell', 'it', 'is', 'difficult', 'sir'];['dobby', 'tell', 'difficult', 'sir']
Dobby; Dobby wonders where to begin?;['dobby', 'wonders', 'where', 'to', 'begin'];['dobby', 'wonder', 'where', 'to', 'begin'];['dobby', 'wonder', 'begin']
Harry;Why don't you sit down?;['why', 'do', 'you', 'sit', 'down'];['why', 'do', 'you', 'sit', 'down'];['sit']
Dobby;S-sit down? S-sit- sit down? ;['down', 'sit', 'down'];['down', 'sit', 'down'];['sit']
Dobby;Oh, oh, ho. Oh, ho, ho... Oh, ho, ho.;['oh', 'oh', 'ho', 'oh', 'ho', 'ho', 'oh', 'ho', 'ho'];['oh', 'oh', 'ho', 'oh', 'ho', 'ho', 'oh', 'ho', 'ho'];['oh', 'oh', 'ho', 'oh', 'ho', 'ho', 'oh', 'ho', 'ho']
Harry;Dobby, ssh! I'm sorry! ;['dobby', 'ssh', 'i', 'sorry'];['dobby', 'ssh', 'i', 'sorry'];['dobby', 'ssh', 'sorry']
