Character;speech
witch;lost, dear, u, help, find, way, back, doris, crockford, mr, potter, ca, believe, meeting, last
all;ahhhhhhh, yay
madam hooch;good, afternoon, class, good, afternoon, amanda, good, afternoon, welcome, first, flying, lesson, well, waiting, everyone, step, left, side, broomstick, hurry, stick, right, hand, broom, say, feeling, hold, broom, want, mount, grip, tight, wan, na, sliding, end, blow, whistle, want, kick, ground, hard, keep, broom, steady, hover, moment, lean, forward, slightly, touch, back, whistle, three, two, longbottom, longbottom, back, instant, everyone, way, oh, dear, broken, wrist, poor, boy, everyone, keep, foot, firmly, ground, take, mr, longbottom, hospital, wing, understand, single, broom, air, one, riding, find, hogwarts, say, quidditch, want, nice, clean, game, gryffindor, win
dobby;ho, ho, ho, harry, potter, honor, dobby, sir, dobby, house, elf, oh, oh, sir, dobby, understands, dobby, tell, difficult, sir, dobby, wonder, begin, sit, oh, oh, ho, oh, ho, ho, oh, ho, ho, offend, dobby, dobby, heard, greatness, sir, never, asked, sit, wizard, like, equal, awful, thing, say, bad, dobby, bad, dobby, baaad, dobby, bad, dobby, bad, dobby, dobby, punish, sir, dobby, almost, spoke, ill, family, sir, wizard, family, dobby, serf, sir, dobby, bound, serve, one, family, forever, ever, knew, dobby, ooh, dobby, dobby, protect, harry, warn, harry, potter, must, back, hogwarts, school, witchcraft, wizardry, year, plot, plot, make, terrible, thing, happen, ooo, er, ca, say, argh, make, talk, errr, bad, dobby, let, friend, even, write, harry, potter, harry, potter, must, angry, dobby, dobby, hoped, harry, potter, thought, friend, forgotten, harry, potter, might, want, back, school, sir, ahh, ooh, harry, potter, must, say, going, back, school, dobby, must, sir, harry, potter, good, hello, harry, potter, listened, dobby, harry, potter, gone, back, home, missed, train, indeed, sir, least, would, away, harry, potter, must, home, dobby, thought, bludger, would, enough, make, harry, potter, dobby, feel, aggrieved, sir, dobby, iron, hand, dobby, used, death, threat, sir, dobby, five, time, day, home, kill, sir, never, kill, dobby, remembers, harry, potter, triumphed, treated, like, vermin, sir, course, dobby, still, treated, like, vermin, sir, mark, enslavement, dobby, freed, master, present, clothes, listen, listen, terrible, thing, happen, hogwarts, harry, potter, must, stay, history, repeat, oahh, said, bad, dobby, bad, dobby, say, sir, dobby, want, harry, potter, safe, master, given, dobby, sock, master, presented, dobby, clothes, dobby, free, shall, harm, harry, potter, harry, potter, freed, dobby, dobby, ever, repay, anything, sir
goblin;doe, harry, potter, key, well
photographer;make, way, please, let, madam, thank, excuse, little, girl, daily, prophet, harry, potter, excuse, madam
oliver;quidditch, easy, enough, understand, time, seven, player, chaser, beater, keeper, seeker, three, kind, ball, one, called, quaffle, chaser, handle, quaffle, try, put, one, three, hoop, keeper, defends, hoop, far, better, take, careful, comin, back, eh, bad, potter, make, fair, beater, bludger, nasty, little, bugger, seeker, ball, want, worry, golden, snitch, ah, like, wait, wicked, fast, damn, near, impossible, catch, team, seeker, catch, game, catch, potter, win, right, felt, way, first, game, er, really, remember, took, bludger, head, minute, woke, hospital, week, later
oliver;scared, harry
someone;snake
aunt petunia;pupkins, mason, arrive, lounge, waiting, welcome, graciously, home, oh
voice;blood, smell, blood, let, rip, let, kill, kill, kill, kill, time, kill, time, kill, want, blood, must, die, kill, kill, kill, time, kill
